11-04 21:34 root         INFO     Verifying the input sequences.
11-04 21:34 root         INFO     Sequences are assumed to be single-end.
11-04 21:34 root         INFO     Temporary directory is: /tmp/itsxpress_cz4mu3sg
11-04 21:34 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-04 21:34 root         INFO     vsearch v2.7.1_linux_x86_64, 15.6GB RAM, 4 cores
https://github.com/torognes/vsearch

Reading file SRR12683120_pass_1.fastq.gz 100%
30893 nt in 150 seqs, min 35, max 301, avg 206
Dereplicating 100%
Sorting 100%
108 unique sequences, avg cluster 1.4, median 1, max 23
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-04 21:34 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-04 21:34 root         INFO     Parsing HMM results.
11-04 21:34 root         INFO     Writing out sequences
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.7.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.10.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.18.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.7.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.23.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.25.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.28.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.29.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.34.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.39.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.42.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.43.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.44.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.25.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.46.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.55.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.56.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.25.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.64.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.66.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.68.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.71.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.25.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.7.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.81.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.7.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.92.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.96.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.103.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.104.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.105.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.7.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.110.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.7.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.133.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.25.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.142.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.1.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.145.1, skipping.
11-04 21:34 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683120.148.1, skipping.
11-04 21:34 root         INFO     ITSxpress ran in 00:00:02
