11-04 21:37 root         INFO     Verifying the input sequences.
11-04 21:37 root         INFO     Sequences are assumed to be single-end.
11-04 21:37 root         INFO     Temporary directory is: /tmp/itsxpress_27we02os
11-04 21:37 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-04 21:37 root         INFO     vsearch v2.7.1_linux_x86_64, 15.6GB RAM, 4 cores
https://github.com/torognes/vsearch

Reading file SRR12683137_pass_1.fastq.gz 100%
225184 nt in 749 seqs, min 237, max 301, avg 301
Dereplicating 100%
Sorting 100%
370 unique sequences, avg cluster 2.0, median 1, max 112
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-04 21:37 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-04 21:37 root         INFO     Parsing HMM results.
11-04 21:37 root         INFO     Writing out sequences
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.26.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.27.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.44.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.45.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.56.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.86.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.130.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.139.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.44.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.151.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.158.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.180.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.44.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.277.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.278.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.44.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.293.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.294.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.307.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.334.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.341.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.397.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.398.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.415.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.416.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.417.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.453.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.455.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.456.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.457.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.460.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.461.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.463.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.511.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.397.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.514.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.397.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.537.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.548.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.397.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.564.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.580.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.581.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.581.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.164.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.590.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.613.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.397.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.615.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.624.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.624.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.628.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.44.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.630.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.652.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.654.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.669.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.44.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.693.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.693.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.174.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.711.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.712.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.729.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.744.1, skipping.
11-04 21:37 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683137.745.1, skipping.
11-04 21:37 root         INFO     ITSxpress ran in 00:00:04
