11-04 21:51 root         INFO     Verifying the input sequences.
11-04 21:51 root         INFO     Sequences are assumed to be single-end.
11-04 21:51 root         INFO     Temporary directory is: /tmp/itsxpress_jvssd89n
11-04 21:51 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-04 21:51 root         INFO     vsearch v2.7.1_linux_x86_64, 15.6GB RAM, 4 cores
https://github.com/torognes/vsearch

Reading file SRR12683171_pass_1.fastq.gz 100%
304331 nt in 1034 seqs, min 35, max 301, avg 294
Dereplicating 100%
Sorting 100%
911 unique sequences, avg cluster 1.1, median 1, max 54
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-04 21:51 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-04 21:51 root         INFO     Parsing HMM results.
11-04 21:51 root         INFO     Writing out sequences
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.19.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.59.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.60.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.66.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.71.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.136.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.183.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.185.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.215.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.60.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.237.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.246.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.251.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.263.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.281.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.352.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.385.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.407.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.411.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.445.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.449.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.464.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.19.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.612.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.659.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.730.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.743.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.795.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.809.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.881.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.899.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683171.145.1, skipping.
11-04 21:51 root         INFO     ITSxpress ran in 00:00:16
