11-04 21:52 root         INFO     Verifying the input sequences.
11-04 21:52 root         INFO     Sequences are assumed to be single-end.
11-04 21:52 root         INFO     Temporary directory is: /tmp/itsxpress_3fqef9tf
11-04 21:52 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-04 21:52 root         INFO     vsearch v2.7.1_linux_x86_64, 15.6GB RAM, 4 cores
https://github.com/torognes/vsearch

Reading file SRR12683180_pass_1.fastq.gz 100%
19864 nt in 66 seqs, min 299, max 301, avg 301
Dereplicating 100%
Sorting 100%
54 unique sequences, avg cluster 1.2, median 1, max 8
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-04 21:52 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-04 21:52 root         INFO     Parsing HMM results.
11-04 21:52 root         INFO     Writing out sequences
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.1.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.2.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.4.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.5.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.6.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.7.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.8.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.2.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.11.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.13.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.15.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.16.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.17.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.18.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.2.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.20.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.22.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.23.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.24.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.25.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.2.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.27.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.28.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.29.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.30.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.31.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.33.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.34.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.35.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.36.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.38.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.40.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.41.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.43.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.44.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.45.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.46.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.47.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.49.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.50.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.51.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.56.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.57.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.58.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.3.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.60.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.61.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.46.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.63.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.64.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.36.1, skipping.
11-04 21:52 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683180.66.1, skipping.
11-04 21:52 root         INFO     ITSxpress ran in 00:00:00
