11-05 13:12 root         INFO     Verifying the input sequences.
11-05 13:12 root         INFO     Sequences are assumed to be single-end.
11-05 13:12 root         INFO     Temporary directory is: /tmp/itsxpress_ck1zwp0j
11-05 13:12 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-05 13:12 root         INFO     vsearch v2.7.1_linux_x86_64, 15.6GB RAM, 4 cores
https://github.com/torognes/vsearch

Reading file SRR12683224_pass_1.fastq.gz 100%
41142 nt in 139 seqs, min 35, max 301, avg 296
Dereplicating 100%
Sorting 100%
99 unique sequences, avg cluster 1.4, median 1, max 10
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-05 13:12 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-05 13:12 root         INFO     Parsing HMM results.
11-05 13:12 root         INFO     Writing out sequences
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.6.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.7.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.8.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.13.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.22.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.23.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.24.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.25.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.36.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.40.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.41.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.44.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.45.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.54.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.55.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.56.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.57.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.58.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.59.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.64.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.65.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.66.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.69.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.70.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.71.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.78.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.79.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.80.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.81.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.82.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.86.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.70.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.70.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.91.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.92.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.93.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.94.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.95.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.96.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.100.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.101.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.102.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.6.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.108.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.109.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.120.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.121.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.121.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.70.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.70.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.70.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.127.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.128.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.129.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.130.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.66.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.132.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.66.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.134.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.135.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683224.136.1, skipping.
11-05 13:12 root         INFO     ITSxpress ran in 00:00:01
