11-05 13:12 root         INFO     Verifying the input sequences.
11-05 13:12 root         INFO     Sequences are assumed to be single-end.
11-05 13:12 root         INFO     Temporary directory is: /tmp/itsxpress_6bvinw1i
11-05 13:12 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-05 13:12 root         INFO     vsearch v2.7.1_linux_x86_64, 15.6GB RAM, 4 cores
https://github.com/torognes/vsearch

Reading file SRR12683223_pass_1.fastq.gz 100%
54779 nt in 183 seqs, min 105, max 301, avg 299
Dereplicating 100%
Sorting 100%
123 unique sequences, avg cluster 1.5, median 1, max 23
Writing output file 100%
Writing uc file, first part 100%
Writing uc file, second part 100%

11-05 13:12 root         INFO     Searching for ITS start and stop sites using HMMSearch. This step takes a while.
11-05 13:12 root         INFO     Parsing HMM results.
11-05 13:12 root         INFO     Writing out sequences
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.8.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.25.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.47.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.48.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.49.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.50.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.51.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.54.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.55.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.56.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.59.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.64.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.64.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.66.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.67.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.68.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.69.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.75.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.76.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.77.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.82.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.83.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.84.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.85.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.88.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.91.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.92.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.75.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.97.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.101.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.103.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.107.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.108.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.109.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.114.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.128.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.129.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.131.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.132.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.134.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.135.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.75.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.148.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.149.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.150.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.159.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.160.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.162.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.164.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.165.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.166.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.167.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.171.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.172.1, skipping.
11-05 13:12 root         DEBUG    No ITS stop or start sites were identified for sequence SRR12683223.181.1, skipping.
11-05 13:12 root         INFO     ITSxpress ran in 00:00:01
